YEAR,QUARTER,WEEK,GEOGRAPHY,MARKET,SECTOR,INDUSTRY,UT30_NAME,ACCOUNT_TYPE,SIGNINGS_AMT,PRACTICE,DEAL_SIZE,CLIENT_NAME,SIGNINGS_AMT_PY,SIGNINGS_AMT_PPY,COUNTRY,BRANCH,UT15_NAME,UT17_NAME,UT20_NAME,MONTH
2023,4,8,Japan,JP Industrial,JP AD CP and IPR,Industrial Products,HR and Employee Operations OA,PREMIER,0.0,Talent Operations,<10M,NITTO DENKO CORPORATION.,,,,,Intelligent Operations,Business Operations,Intelligent HR and Employee Operations,2
2023,4,6,Japan,JP Distribution,JP Consumer,Digital Squads,Source-to-Pay Operations BPO,FOUNDATION,0.0,Finance & Procurement BPO,<10M,NH FOODS,,,,,Intelligent Operations,Business Operations,Intelligent Procurement Operations,2
2023,1,4,Japan,JP Industrial,JP Electronics,Select BPS-T,Supply Chain Transformation OA,Unassigned,14286.0,Asset & Manufacturing Optimization,<10M,KOITO MANUFACTURING,,,,,Strategy & Technology,Strategy & Transformation,Supply Chain Transformation,1
2023,3,10,Americas,US Distribution,US Cpg,Select Client,"AI Integration Services (with IBM, AWS)",Unassigned,0.0,AI & Analytics,<10M,ANHEUSER-BUSCH INBEV,,,,,Strategy & Technology,Hybrid Cloud & Data,"AI Integration Services (with IBM, AWS, Microsoft)",3
2023,4,10,Americas,US Communications & Industrial,US Communications & Industrial,Select BPS-T,AMS for SAP Apps,Unassigned,0.0,SAP Application Operations,<10M,RUSH ENTERPRISES,,,,,Intelligent Operations,Application Operations,Application Management Services for SAP Applications,3
2023,2,9,Americas,US Distribution,US TNT,Travel & Transportation,Custom Application Management Services OA,PREMIER,169560.0,Custom Application Operations,<10M,MARRIOTT INTERNATIONAL INC.,,,,,Intelligent Operations,Application Operations,Custom Application Management Services,2
2023,4,9,UKI,UKI Public,Ireland PUB,Select BPS-T,SAP,Unassigned,0.0,SAP,<10M,PFIZER,,,,,Strategy & Technology,Business Applications,Business Transformation with SAP Applications,2
2023,3,7,APAC,ISA,ISA FSS,Select BPS-T,IBM CyberDefend Other,FOUNDATION CLUSTER,0.0,CyberDefend,<10M,CENTRAL DEPOSITORY SERVICES,,,,,Intelligent Operations,Cybersecurity,IBM CyberDefend,2
2023,2,6,Rest of EMEA,Italy,Italy FSS,Banking,Custom Application Management Services OA,ENTERPRISE,0.0,Custom Application Operations,<10M,INTESA SANPAOLO GROUP,,,,,Intelligent Operations,Application Operations,Custom Application Management Services,2
2023,4,7,Rest of EMEA,NCEE,Finland,Select BPS-T,"App Mig and Modern (not AWS, Microsoft) OA",Unassigned,0.0,Migration & Modernization,<10M,ORION CORPORATION,,,,,Strategy & Technology,Hybrid Cloud & Data,"Application Migration and Modernization (not AWS, Microsoft)",2
