YEAR,QUARTER,MONTH,UT15_NAME,UT17_NAME,UT20_NAME,GEOGRAPHY,MARKET,COUNTRY,REGION,REVENUE_BUDGET,COST_BUDGET,EXPENSE_BUDGET,BRANCH
2025,2,4,Automation Platform,Application Development & Integration,Application Integration,APAC,Greater China Group Market,Greater China Group Plan,Greater China Group Region,20611.3,0.0,0.0,
2025,4,10,Automation Platform,Application Development & Integration,Application Integration,APAC,Greater China Group Market,Greater China Group Plan,Greater China Group Region,61550.0,0.0,0.0,
2025,1,1,Automation Platform,Application Development & Integration,Application Integration,EMEA,Italy Market,Italy Plan,Italy Region,190961.04,0.0,0.0,
2025,1,1,Automation Platform,Application Development & Integration,Application Integration,Japan,Japan Market,Japan Plan,Japan Region,159882.11,0.0,0.0,
2025,1,1,Automation Platform,Application Development & Integration,Application Integration,APAC,Korea Market,Korea Plan,Korea Region,74102.21,0.0,0.0,
2025,4,10,Automation Platform,Application Development & Integration,Application Integration,APAC,Korea Market,Korea Plan,Korea Region,130801.7,0.0,0.0,
2025,4,10,Automation Platform,Application Development & Integration,Application Integration,Americas,Latin America Market,Latin America Market Plan,Latin America Top Region,916528.1,0.0,0.0,
2025,2,4,Automation Platform,Application Development & Integration,Application Integration,EMEA,"Northern, Central and Eastern Europe Market","Northern, Central and Eastern Europe Plan","Northern, Central and Eastern Europe Top Region",1874675.81,0.0,0.0,
2025,1,1,Automation Platform,Application Development & Integration,Application Integration,Americas,US Federal Market,U.S. Federal Plan,US Federal Region,130295.77,0.0,0.0,
2025,2,4,Automation Platform,Application Development & Integration,Application Integration,Americas,US Financial Service Market,U.S. Financial Plan,US Financial Service Region,1713249.34,0.0,0.0,
2025,1,1,Automation Platform,Application Development & Integration,Application Integration,EMEA,UKI Market,UK/Ireland Plan,UKI Region,2535374.65,0.0,0.0,
2025,2,4,Automation Platform,Application Development & Integration,Application Integration,EMEA,UKI Market,UK/Ireland Plan,UKI Region,2647305.71,0.0,0.0,
2025,4,10,Automation Platform,Application Development & Integration,Application Integration,Americas,US Partner Service Market,US Build/Service Partnerss Plan,US Partner Service Region,9182.09,0.0,0.0,
2025,1,1,Automation Platform,Application Development & Integration,Application Integration,Americas,US National Market,US National Plan,US Northeast Region,4922637.25,0.0,0.0,
2025,1,1,Automation Platform,Technology Business Management,Asset Lifecycle Management,Americas,Canadian Market,Canada Plan,Canada Region,2307237.69,0.0,0.0,
2025,2,4,Automation Platform,Technology Business Management,Asset Lifecycle Management,EMEA,DACH Market,DACH Plan,DACH Region,1416782.78,0.0,0.0,
2025,1,1,Automation Platform,Technology Business Management,Asset Lifecycle Management,APAC,Greater China Group Market,Greater China Group Plan,Greater China Group Region,54145.48,0.0,0.0,
2025,2,4,Automation Platform,Technology Business Management,Asset Lifecycle Management,APAC,Greater China Group Market,Greater China Group Plan,Greater China Group Region,76346.73,0.0,0.0,
2025,3,7,Automation Platform,Technology Business Management,Asset Lifecycle Management,APAC,India/South Asia Market,India & South Asia Plan,India/South Asia Region,1070227.99,0.0,0.0,
2025,4,10,Automation Platform,Technology Business Management,Asset Lifecycle Management,Americas,Latin America Market,Latin America Market Plan,Latin America Top Region,1329225.53,0.0,0.0,
2025,1,1,Automation Platform,Technology Business Management,Asset Lifecycle Management,EMEA,Middle East/Africa Market,Middle East and Africa Plan,Middle East/Africa Top Region,572292.56,0.0,0.0,
2025,2,4,Automation Platform,Technology Business Management,Asset Lifecycle Management,EMEA,Middle East/Africa Market,Middle East and Africa Plan,Middle East/Africa Top Region,632097.78,0.0,0.0,
2025,1,1,Automation Platform,Technology Business Management,Asset Lifecycle Management,EMEA,"Northern, Central and Eastern Europe Market","Northern, Central and Eastern Europe Plan","Northern, Central and Eastern Europe Top Region",1755552.97,0.0,0.0,
2025,1,1,Automation Platform,Technology Business Management,Asset Lifecycle Management,EMEA,SPGI Market,SPGI Top,SPGI Region,444482.23,0.0,0.0,
2025,1,1,Automation Platform,Technology Business Management,Asset Lifecycle Management,Americas,US Federal Market,U.S. Federal Plan,US Federal Region,1391632.83,0.0,0.0,
2025,1,1,Automation Platform,Technology Business Management,Asset Lifecycle Management,Americas,US Financial Service Market,U.S. Financial Plan,US Financial Service Region,859697.08,0.0,0.0,
2025,4,10,Automation Platform,Technology Business Management,Asset Lifecycle Management,EMEA,UKI Market,UK/Ireland Plan,UKI Region,5189672.19,0.0,0.0,
2025,3,7,Automation Platform,Technology Business Management,Asset Lifecycle Management,Americas,US Partner Service Market,US Build/Service Partnerss Plan,US Partner Service Region,256173.0,0.0,0.0,
2025,1,1,Automation Platform,Technology Business Management,Asset Lifecycle Management,Americas,US Industry Market,US Industry Plan,US Industry Region,5935124.75,0.0,0.0,
2025,2,4,Automation Platform,Technology Business Management,Asset Lifecycle Management,Americas,US National Market,US National Plan,US Northeast Region,24808817.21,0.0,0.0,
2025,1,1,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),APAC,ASEAN Market,Asean Plan,ASEAN Region,-214630.45,0.0,0.0,
2025,4,10,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),APAC,ASEAN Market,Asean Plan,ASEAN Region,210132.3,0.0,0.0,
2025,4,10,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),APAC,Australia/New Zealand Market,Australia/New Zealand Plan,Australia/New Zealand Region,123540.42,0.0,0.0,
2025,1,1,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Americas,Canadian Market,Canada Plan,Canada Region,-469736.17,0.0,0.0,
2025,2,4,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Americas,Canadian Market,Canada Plan,Canada Region,-342853.29,0.0,0.0,
2025,2,4,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),EMEA,DACH Market,DACH Plan,DACH Region,-104726.2,0.0,0.0,
