CALL_AMT,WON_AMT,UPSIDE_AMT,QUALIFY_PLUS_AMT,PROPOSE_PLUS_AMT,NEGOTIATE_PLUS_AMT,OPEN_PIPELINE_AMT,OPPORTUNITY_VALUE,PPV_AMT,HIGH_PWP_OUT_CALL,LOW_PWP_IN_CALL,WEEK,QUARTER,YEAR,SNAPSHOT_LEVEL,RELATIVE_QUARTER_MNEUMONIC,SALES_STAGE,GEOGRAPHY,MARKET,SECTOR,ACCOUNT_TYPE,GROWTH_PLATFORM,SERVICE_LINE,SERVICE_LINE_AREA,OFFERING,DEAL_SIZE,CLIENT_NAME,IBM_GEN_AI_IND,PARTNER_GEN_AI_IND,SALES_WEEK_DESCRIPTION,UT15_NAME,UT17_NAME,UT20_NAME
0.0,0.0,0.0,0.0,0.0,0.0,0,375000,0,0,0,14,3,2023,W,PQ,Lost,Americas,US Distribution,US Retail,PREMIER,Hybrid Cloud Services,Hybrid Cloud Management,Quality Engineering Services,Quality Assurance & Testing - Standalone,small,AHOLD DELHAIZE,0,0,2023Q3W14,,,
0.0,0.0,24664.0,24664.0,24664.0,0.0,24664,24664,0,0,0,14,3,2023,W,PQ,Propose,APAC,GCG,MCN IFC PLUS,Unassigned,Hybrid Cloud Services,Hybrid Cloud Transformation,"Application Migration and Modernization (not AWS, Microsoft)",App & Data Modernization for Distributed Apps - No Cloud,small,AIA GROUP LIMITED,0,0,2023Q3W14,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,25000000,0,0,0,1,3,2023,W,CQ,Lost,APAC,GCG,Hong Kong,PREMIER,Hybrid Cloud Services,Hybrid Cloud Management,Custom Application Management Services,Application Maintenance and Management - Cloud,large,AIA GROUP LIMITED,0,0,2023Q3W01,,,
0.0,0.0,0.0,0.0,0.0,0.0,50000,50000,0,0,0,14,3,2023,W,PQ,Engage,APAC,GCG,MCN DIST PLUS,Unassigned,Hybrid Cloud Services,Hybrid Cloud Management,Custom Application Management Services,Application Maintenance and Management - OnPrem,small,AIA GROUP LIMITED,0,0,2023Q3W14,,,
8745.0,8745.0,0.0,8745.0,8745.0,8745.0,0,8745,0,0,0,14,3,2023,W,PQ,Won,APAC,ANZ,Australia FSS,PREMIER,Business Transformation Services,Customer Transformation,Business Transformation with Salesforce,CT: Service Transformation with Salesforce,small,AIA GROUP LIMITED,0,0,2023Q3W14,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,124000,0,0,0,1,3,2023,W,CQ,Lost,APAC,ANZ,Australia FSS,PREMIER,Business Transformation Services,Data & Technology Transformation,"Data Transformation (with IBM, AWS, Microsoft)",DTT: Data Transformation - Customer,small,AIA GROUP LIMITED,0,0,2023Q3W01,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,124000,0,0,0,14,3,2023,W,PQ,Lost,APAC,ANZ,Australia FSS,PREMIER,Business Transformation Services,Data & Technology Transformation,"Data Transformation (with IBM, AWS, Microsoft)",DTT: Data Transformation - Customer,small,AIA GROUP LIMITED,0,0,2023Q3W14,,,
0.0,0.0,0.0,500000.0,0.0,0.0,500000,500000,32267,0,0,1,3,2023,W,CQ,Qualify,APAC,GCG,Hong Kong,PREMIER,Hybrid Cloud Services,Hybrid Cloud Transformation,Cloud and Technology Strategy,"Enterprise Cloud Strategy, Arch & Oper Model Transformation",small,AIA GROUP LIMITED,0,0,2023Q3W01,,,
0.0,0.0,0.0,0.0,0.0,0.0,868000,868000,0,0,0,1,3,2023,W,CQ,Engage,APAC,ANZ,Australia FSS,PREMIER,Hybrid Cloud Services,Hybrid Cloud Transformation,Digital Product Design and Engineering,"OnPrem Application Development, DevOps & Hybrid Integration",small,AIA GROUP LIMITED,0,0,2023Q3W01,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,186000,0,0,0,14,3,2023,W,PQ,Lost,APAC,ANZ,Australia FSS,PREMIER,Hybrid Cloud Services,Hybrid Cloud Transformation,Digital Product Design and Engineering,"OnPrem Application Development, DevOps & Hybrid Integration",small,AIA GROUP LIMITED,0,0,2023Q3W14,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,3,2023,W,CQ,Lost,Americas,Canada,Canada Quebec,ELITE,Hybrid Cloud Services,Hybrid Cloud Management,Application Management Services for SAP Applications,AMS for SAP S/4HANA or S/4 Migration on Cloud,small,AIR CANADA / AIMIA,0,0,2023Q3W01,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,66666,0,0,0,14,3,2023,W,PQ,Lost,Americas,Canada,Canada Quebec,ELITE,Hybrid Cloud Services,Hybrid Cloud Management,Custom Application Management Services,Application Maintenance and Management - Cloud,small,AIR CANADA / AIMIA,0,0,2023Q3W14,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,533333,0,0,0,14,3,2023,W,PQ,Lost,Americas,Canada,Canada Quebec,ELITE,Hybrid Cloud Services,Hybrid Cloud Management,Custom Application Management Services,Application Maintenance and Management - Cloud - Red Hat,small,AIR CANADA / AIMIA,0,0,2023Q3W14,,,
0.0,0.0,0.0,1677786.0,0.0,0.0,1677786,1677786,477861,0,0,1,3,2023,W,CQ,Qualify,Americas,Canada,Canada Quebec,ELITE,Hybrid Cloud Services,Hybrid Cloud Management,Custom Application Management Services,Application Maintenance and Management - OnPrem,small,AIR CANADA / AIMIA,0,0,2023Q3W01,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,3,2023,W,CQ,Design,Americas,Canada,Canada Quebec,ELITE,Business Transformation Services,Finance & Supply Chain Transformation,Business Transformation with SAP Applications,FSCT: Enterprise Transformation with SAP S/4HANA,small,AIR CANADA / AIMIA,0,0,2023Q3W01,,,
0.0,0.0,300000.0,300000.0,300000.0,300000.0,300000,300000,17461,0,0,1,3,2023,W,CQ,Negotiate,Americas,Canada,Canada Quebec,PREMIER,Hybrid Cloud Services,Hybrid Cloud Transformation,Hybrid Integration Services,Hybrid Integration using Mulesoft,small,AIRBUS GROUP,0,0,2023Q3W01,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,50000,0,0,0,14,3,2023,W,PQ,Lost,Rest of EMEA,MEA,Gulf and Levant,PREMIER,Hybrid Cloud Services,Hybrid Cloud Management,Cloud Platform Engineering Services,ServiceNow - Implementation & Manage,small,AL FUTTAIM GROUP,0,0,2023Q3W14,,,
100000.0,0.0,0.0,450000.0,0.0,0.0,450000,450000,28699,0,100000,1,3,2023,W,CQ,Design,Americas,US Distribution,US Retail,Unassigned,Business Transformation Services,Customer Transformation,Marketing Transformation,CT: Customer Transformation with Adobe,small,ALBERTSONS COMPANIES INC,0,0,2023Q3W01,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,105000,0,0,0,14,3,2023,W,PQ,Lost,Americas,US Distribution,US Retail,Unassigned,Hybrid Cloud Services,Hybrid Cloud Transformation,Digital Product Design and Engineering,Cloud Native App Development,small,ALBERTSONS COMPANIES INC,0,0,2023Q3W14,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,200000,0,0,0,14,3,2023,W,PQ,Lost,Americas,US Distribution,US Retail,Unassigned,Business Transformation Services,Data & Technology Transformation,"Data Transformation (with IBM, AWS, Microsoft)",DTT: Data Transformation - Customer,small,ALBERTSONS COMPANIES INC,0,0,2023Q3W14,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,100000,0,0,0,14,3,2023,W,PQ,Lost,Americas,US Distribution,US Retail,Unassigned,Business Transformation Services,Finance & Supply Chain Transformation,Supply Chain Transformation,FSCT: Sustainability for Supply Chains & Proc Withdrawn,small,ALBERTSONS COMPANIES INC,0,0,2023Q3W14,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,300000,0,0,0,1,3,2023,W,CQ,Lost,Americas,LA,Brazil,Unassigned,Cybersecurity Services,Cybersecurity,IBM CyberDefend,CSS: Id & Access Mgmt (Mgd) 6950-24H,small,ALIANCA GERACAO DE ENERGIA S A,0,0,2023Q3W01,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,360000,0,0,0,1,3,2023,W,CQ,Lost,Americas,LA,Brazil,Unassigned,Cybersecurity Services,Cybersecurity,IBM CyberDefend,CSS: Infra Sec Svcs (Mgd) 6950-31V,small,ALIANCA GERACAO DE ENERGIA S A,0,0,2023Q3W01,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,3,2023,W,CQ,Qualify,Americas,LA,Brazil,Unassigned,Cybersecurity Services,Cybersecurity,IBM CyberDefend,Cloud Sec Posture Mgmt (C&SI) 6950-27W Withdrawn,small,ALIANCA GERACAO DE ENERGIA S A,0,0,2023Q3W01,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,3,2023,W,CQ,Qualify,Americas,LA,Brazil,Unassigned,Cybersecurity Services,Cybersecurity,IBM CyberDefend,Data and AI Security Svcs (C&SI) 6950-97D Withdrawn,small,ALIANCA GERACAO DE ENERGIA S A,0,0,2023Q3W01,,,
106320.0,106320.0,0.0,106320.0,106320.0,106320.0,0,106320,0,0,0,14,3,2023,W,PQ,Won,Japan,JP Distribution,JP TNT,TARGET PREMIER,Business Transformation Services,Customer Transformation,Business Transformation with Salesforce,CT: Service Transformation with Salesforce,small,"ALL NIPPON AIRWAYS CO., LTD.",0,0,2023Q3W14,,,
0.0,0.0,0.0,0.0,0.0,0.0,0,25000,0,0,0,14,3,2023,W,PQ,Lost,Rest of EMEA,DACH,DE FSS,PREMIER,Business Transformation Services,Data & Technology Transformation,"AI Integration Services (with IBM, AWS, Microsoft)",DTT: Banking & Insurance Transformation,small,ALLIANZ,0,0,2023Q3W14,,,
