YEAR,QUARTER,BOOKING_STREAMS_SUBCATEGORY_NAME,BOOKING_STREAMS_NAME,GEOGRAPHY_NAME,MARKET_NAME,COUNTRY_NAME,UT15_NAME,UT17_NAME,UT20_NAME,UT30_NAME,TRANSACTIONAL_ADJUSTMENT
2025,1,Transactional Adjustments,Transactional Adjustment Acquisitions,APAC,Greater China Group Market,Greater China Group Market Plan,Automation Platform,,,,742.82
2025,1,Transactional Adjustments,Transactional Adjustments Other/Top,Americas,US Industry Market,US Industry Plan,Automation Platform,,,,1164170.42
2025,2,Transactional Adjustments,Transactional Adjustments Other/Top,EMEA,Italy Market,Italy Plan,Data Platform,,,,464623.82
2025,3,Transactional Adjustments,Transactional Adjustments Other/Top,EMEA,DACH Market,DACH Plan,Automation Platform,,,,652617.35
2025,2,Transactional Adjustments,Transactional Adjustment Base,Americas,US Top Market,U.S. Other Plan,Power TPS,,,,-6289.79
2025,1,Transactional Adjustments,Transactional Adjustments GtN Partner Plus (VAR),EMEA,Italy Market,Italy Plan,Z TPS,,,,-6804.69
2025,2,Transactional Adjustments,Transactional Adjustments Other/Top,APAC,ASEAN Market,Asean Plan,Automation Platform,,,,242359.92
2025,3,Transactional Adjustments,Transactional Adjustments GtN Partner Plus (VAR),APAC,India/South Asia Market,India & South Asia Plan,Data Platform,,,,-144787.19
2025,2,Transactional Adjustments,Transactional Adjustments GtN Partner Plus (VAR),Japan,Japan Market,Japan Plan,Power TPS,,,,-9000.0
2025,3,Transactional Adjustments,Transactional Adjustments Other/Top,EMEA,Italy Market,Italy Plan,Storage TPS,,,,287227.79
2025,1,Transactional Adjustments,Transactional Adjustment Subscription,APAC,India/South Asia Market,India & South Asia Plan,Automation Platform,,,,-2000.0
2025,1,Transactional Adjustments,Transactional Adjustments Other/Top,APAC,APAC Top Countries,APAC Plan,Data Platform,,,,0.0
2025,1,Transactional Adjustments,Transactional Adjustment Base,Americas,US Top Market,U.S. Other Plan,IBM Software Top (AUO),,,,-8210.57
2025,1,Transactional Adjustments,Transactional Adjustments Gross To Net,APAC,India/South Asia Market,India & South Asia Plan,Storage TPS,,,,-54006.12
2025,2,Transactional Adjustments,Transactional Adjustments Gross To Net,APAC,Greater China Group Market,Greater China Group Market Plan,Automation Platform,,,,-341113.93
2025,3,Transactional Adjustments,Transactional Adjustments Other/Top,Americas,Canadian Market,Canada Plan,Z TPS,,,,231939.86
2025,1,Transactional Adjustments,Transactional Adjustments Other/Top,Americas,US Industry Market,US Industry Plan,Power TPS,,,,2478.74
2025,2,Transactional Adjustments,Transactional Adjustments Gross To Net,EMEA,SPGI Market,SPGI Plan,Data Platform,,,,-387565.19
2025,3,Transactional Adjustments,Transactional Adjustments Other/Top,Americas,Americas Top Countries,Americas Plan,Power TPS,,,,0.0
2025,4,Transactional Adjustments,Transactional Adjustment Acquisitions,Americas,Canadian Market,Canada Plan,Automation Platform,,,,0.0
2025,1,Transactional Adjustments,Transactional Adjustments GtN Partner Plus (VAR),APAC,Australia/New Zealand Market,Australia/New Zealand Plan,Automation Platform,,,,-138813.61
2025,1,Transactional Adjustments,Transactional Adjustments Gross To Net,EMEA,DACH Market,DACH Plan,Z TPS,,,,-17155.51
2025,4,Transactional Adjustments,Transactional Adjustment Acquisitions,EMEA,"Northern, Central and Eastern Europe Market","Northern, Central and Eastern Europe Plan",Automation Platform,,,,0.0
2025,3,Transactional Adjustments,Transactional Adjustments Other/Top,APAC,ASEAN Market,Asean Plan,Data Platform,,,,188655.55
2025,2,Transactional Adjustments,Transactional Adjustment Base,Americas,Americas Top Countries,Americas Plan,Power TPS,,,,0.0
2025,3,Transactional Adjustments,Transactional Adjustments GtN Partner Plus (VAR),EMEA,UKI Market,UK/Ireland Plan,Z TPS,,,,-98104.92
2025,3,Transactional Adjustments,Transactional Adjustments Other/Top,Americas,Latin America Market,Latin America Market Plan,Automation Platform,,,,861784.62
2025,2,Transactional Adjustments,Transactional Adjustment Subscription,APAC,Australia/New Zealand Market,Australia/New Zealand Plan,Storage TPS,,,,-30000.0
2025,2,Transactional Adjustments,Transactional Adjustment Acquisitions,Americas,US Top Market,U.S. Other Plan,Power TPS,,,,0.0
2025,2,Transactional Adjustments,Transactional Adjustment RedHat Carve-Out,Americas,US Top Market,U.S. Variance,Data Platform,,,,0.0
2025,3,Transactional Adjustments,Transactional Adjustments Other/Top,EMEA,UKI Market,UK/Ireland Plan,Automation Platform,,,,1898936.54
2025,3,Transactional Adjustments,Transactional Adjustment Base,Americas,US Top Market,U.S. Other Plan,Z TPS,,,,-2290454.21
2025,1,Transactional Adjustments,Transactional Adjustment Subscription,Americas,Americas Top Countries,Americas Plan,Data Platform,,,,0.0
2025,2,Transactional Adjustments,Transactional Adjustments Other/Top,APAC,ASEAN Market,Asean Plan,Data Platform,,,,188655.55
2025,2,Transactional Adjustments,Transactional Adjustments Other/Top,Americas,Latin America Market,Latin America Market Plan,Automation Platform,,,,861784.62
2025,1,Transactional Adjustments,Transactional Adjustment RedHat Carve-Out,EMEA,DACH Market,DACH Plan,Automation Platform,,,,-224139.88
2025,1,Transactional Adjustments,Transactional Adjustments Gross To Net,Americas,US Top Market,U.S. Other Plan,Automation Platform,,,,-7520000.01
2025,3,Transactional Adjustments,Transactional Adjustments Gross To Net,APAC,India/South Asia Market,India & South Asia Plan,Power TPS,,,,-4582.08
2025,2,Transactional Adjustments,Transactional Adjustments Other/Top,EMEA,UKI Market,UK/Ireland Plan,Automation Platform,,,,1898936.54
2025,3,Transactional Adjustments,Transactional Adjustments Gross To Net,EMEA,France Market,France Plan,Automation Platform,,,,-23433.58
2025,1,Transactional Adjustments,Transactional Adjustment RedHat Carve-Out,Americas,US Top Market,U.S. Variance,Automation Platform,,,,0.0
2025,2,Transactional Adjustments,Transactional Adjustments Other/Top,EMEA,Italy Market,Italy Plan,Storage TPS,,,,287227.79
2025,2,Transactional Adjustments,Transactional Adjustments GtN Partner Plus (VAR),EMEA,Italy Market,Italy Plan,Automation Platform,,,,-221135.03
2025,3,Transactional Adjustments,Transactional Adjustments GtN Partner Plus (VAR),APAC,ASEAN Market,Asean Plan,Automation Platform,,,,-849511.12
2025,3,Transactional Adjustments,Transactional Adjustments Gross To Net,APAC,Australia/New Zealand Market,Australia/New Zealand Plan,Storage TPS,,,,-17987.99
2025,2,Transactional Adjustments,Transactional Adjustments Other/Top,Americas,Canadian Market,Canada Plan,Z TPS,,,,231939.86
2025,2,Transactional Adjustments,Transactional Adjustments Other/Top,Americas,Americas Top Countries,Americas Plan,Power TPS,,,,0.0
2025,3,Transactional Adjustments,Transactional Adjustments GtN Partner Plus (VAR),APAC,Korea Market,Korea Plan,Storage TPS,,,,-93048.73
