YEAR,QUARTER,MONTH,INDUSTRY,UT30_NAME,PRACTICE,GEOGRAPHY,MARKET,SECTOR,REVENUE_BUDGET_AMT,SIGNINGS_BUDGET_AMT,CLIENT_NAME,UT15_NAME,UT17_NAME,UT20_NAME,GROSS_PROFIT_BUDGET_AMT,PLAN_ID
2025,4,10,Communications Top,IBM Consulting (AUO),Security Services,Americas,Canada,Canada Other,1600000.0,0.0,ALGONQUIN POWER CORPORATION,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),380575.13,BUDCL
2025,1,1,Communications Top,IBM Consulting (AUO),Security Services,Americas,Canada,Canada Other,18550968.32,8500000.0,BELL CANADA ENTERPRISES,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),4390624.71,BUDCL
2025,2,4,Communications Top,IBM Consulting (AUO),Security Services,Americas,Canada,Canada Other,19500000.0,22330000.0,BELL CANADA ENTERPRISES,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),5102422.98,BUDCL
2025,3,7,Communications Top,IBM Consulting (AUO),Security Services,Americas,Canada,Canada Other,15000000.0,10000000.0,BELL CANADA ENTERPRISES,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),3655971.92,BUDCL
2025,4,10,Communications Top,IBM Consulting (AUO),Security Services,Americas,Canada,Canada Other,15310000.0,20000000.0,BELL CANADA ENTERPRISES,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),3942758.42,BUDCL
2025,1,1,Communications Top,IBM Consulting (AUO),Security Services,Americas,Canada,Canada Other,1300000.0,1500000.0,BRUCE POWER INC,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),253206.11,BUDCL
2025,2,4,Communications Top,IBM Consulting (AUO),Security Services,Americas,Canada,Canada Other,2300000.0,1500000.0,BRUCE POWER INC,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),480827.27,BUDCL
2025,3,7,Communications Top,IBM Consulting (AUO),Security Services,Americas,Canada,Canada Other,1876895.63,23000000.0,BRUCE POWER INC,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),360657.2,BUDCL
2025,4,10,Communications Top,IBM Consulting (AUO),Security Services,Americas,Canada,Canada Other,2300000.0,0.0,BRUCE POWER INC,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),489251.48,BUDCL
2025,1,1,Communications Top,IBM Consulting (AUO),Security Services,Americas,Canada,Canada Other,4000000.0,12800000.0,CANADIAN UTILITIE,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),400000.0,BUDCL
