YEAR,QUARTER,WEEK,GEOGRAPHY,MARKET,COUNTRY,UT15_NAME,UT17_NAME,UT20_NAME,UT30_NAME,DEAL_SIZE,SIGNINGS,SIGNINGS_PY,SIGNINGS_PPY,BRANCH
2025,1,9,EMEA,Middle East/Africa Market,Egypt,Data Platform,Data and AI Top (AUO),Data Platform Top Portfolio (AUO),Data Platform Top (AUO),Unassigned,0.0,,,
2025,2,7,EMEA,"Northern, Central and Eastern Europe Market",Slovenia,Data Platform,Data and AI Top (AUO),Data Platform Top Portfolio (AUO),Data Platform Top (AUO),Unassigned,0.0,,,
2025,1,5,EMEA,"Northern, Central and Eastern Europe Market",Sweden,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Automation Top (AUO),Unassigned,13140.0,,,
2025,1,5,APAC,Greater China Group Market,Hong Kong,Automation Platform,Technology Business Management,IT Financial Management,Apptio Top (AUO),Unassigned,0.0,,,
2025,2,4,EMEA,UKI Market,United Kingdom,Data Platform,Data Fabric,Content Management,Business Automation Top (AUO),Unassigned,8437.0,,,
2025,1,3,Americas,Latin America Market,Chile,Data Platform,Data and AI Top (AUO),Data Platform Top Portfolio (AUO),Data Platform Top (AUO),Unassigned,133053.0,,,
2025,1,11,APAC,Australia/New Zealand Market,Australia,Automation Platform,Technology Business Management,IT Financial Management,Apptio Top (AUO),Unassigned,0.0,,,
2025,2,3,APAC,Australia/New Zealand Market,Australia,Automation Platform,Technology Business Management,Asset Lifecycle Management,Environmental Intelligence,Unassigned,16579.0,,,
2025,1,12,APAC,ASEAN Market,Singapore,Data Platform,Data and AI Top (AUO),Data Platform Top Portfolio (AUO),Data Platform Top (AUO),Unassigned,364210.0,,,
2025,1,9,Americas,Canadian Market,Canada,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Watson FSS Top (AUO),Unassigned,0.0,,,
2025,1,5,APAC,India/South Asia Market,India PTE Ltd,Public Cloud Platform,Public Cloud IaaS,Extended Enterprise,IaaS Classic,<10M,3536404.0,,,
2025,2,3,APAC,ASEAN Market,Singapore,Data Platform,Data and AI Top (AUO),Data Platform Top Portfolio (AUO),Data Platform Top (AUO),Unassigned,19579.0,,,
2025,1,7,EMEA,DACH Market,Germany,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Automation Top (AUO),Unassigned,229466.0,,,
2025,1,6,Americas,Canadian Market,Canada,Public Cloud Platform,Public Cloud PaaS,PaaS True Up / Top (AUO),"PaaS True Up, Allocations and Other (AUO)",Unassigned,0.0,,,
2025,1,9,EMEA,UKI Market,United Kingdom,Data Platform,Data and AI Top (AUO),Data Platform Top Portfolio (AUO),Data Platform Top (AUO),Unassigned,444120.0,,,
2025,1,8,EMEA,SPGI Market,Spain,Automation Platform,Application Development & Integration,Application Integration,webMethods Integration,Unassigned,0.0,,,
2025,1,6,EMEA,SPGI Market,Israel (SEMEA Sub),Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Automation Top (AUO),Unassigned,0.0,,,
2025,2,5,EMEA,Italy Market,Italy,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),"Sustainability Software Top-BP Rebates, Acctg Miscodes (AUO)",Unassigned,27720.0,,,
2025,1,13,EMEA,Middle East/Africa Market,Saudi Arabia,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Automation Top (AUO),Unassigned,0.0,,,
2025,1,11,EMEA,Italy Market,Italy,Automation Platform,Application Development & Integration,Application Integration,webMethods Integration,Unassigned,0.0,,,
2025,2,9,EMEA,Middle East/Africa Market,Saudi Arabia,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Automation Top (AUO),Unassigned,476880.0,,,
2025,2,5,EMEA,Middle East/Africa Market,Egypt,Data Platform,Data and AI Top (AUO),Data Platform Top Portfolio (AUO),Data Platform Top (AUO),Unassigned,0.0,,,
2025,1,7,Americas,US Top Market,United States of America,Public Cloud Platform,Public Cloud IaaS,Extended Enterprise,VMware Managed and Solutions,<10M,1247020.0,,,
2025,2,5,APAC,Greater China Group Market,China,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Automation Top (AUO),Unassigned,-103.0,,,
2025,2,3,EMEA,SPGI Market,Spain,Data Platform,Data and AI Top (AUO),Data Platform Top Portfolio (AUO),Data Platform Top (AUO),Unassigned,30000.0,,,
2025,1,5,EMEA,UKI Market,Ireland,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),"Sustainability Software Top-BP Rebates, Acctg Miscodes (AUO)",Unassigned,17500.0,,,
2025,1,12,EMEA,Italy Market,Italy,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),"Sustainability Software Top-BP Rebates, Acctg Miscodes (AUO)",Unassigned,20000.0,,,
2025,1,8,APAC,ASEAN Market,Singapore,Data Platform,Data and AI Top (AUO),Data Platform Top Portfolio (AUO),Data Platform Top (AUO),Unassigned,24000.0,,,
2025,1,10,APAC,Australia/New Zealand Market,New Zealand,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),"Partner Rebates, Unassigned, Miscds, Other (AUO)",Unassigned,0.0,,,
2025,1,11,EMEA,DACH Market,Austria,Automation Platform,Application Development & Integration,Application Integration,webMethods Integration,Unassigned,0.0,,,
2025,1,6,Americas,Latin America Market,Brazil,Public Cloud Platform,Public Cloud IaaS,Extended Enterprise,VMware Managed and Solutions,<10M,4611830.0,,,
2025,1,11,EMEA,DACH Market,Germany,Automation Platform,Technology Business Management,IT Financial Management,Apptio Top (AUO),Unassigned,0.0,,,
2025,1,5,Americas,Latin America Market,Mexico,Public Cloud Platform,Public Cloud IaaS,Extended Enterprise,IaaS Classic,<10M,5907.0,,,
2025,1,5,APAC,ASEAN Market,Singapore,Public Cloud Platform,Public Cloud IaaS,Extended Enterprise,VMware Managed and Solutions,<10M,0.0,,,
2025,2,12,APAC,Australia/New Zealand Market,New Zealand,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),"Partner Rebates, Unassigned, Miscds, Other (AUO)",Unassigned,8375.0,,,
2025,2,9,APAC,Greater China Group Market,China,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Automation Top (AUO),Unassigned,12352.0,,,
